region/code;city/code;city/jp;city/en;noCode;code;name;eng;latitude;longitude;arv
510;2621200;京丹後市;Kyōtango-shi;5101921;2621221;京丹後市久美浜町広瀬;Kyōtango-shi Kumihama-chō Hirose;35.6036;134.8939;1.749
510;2621200;京丹後市;Kyōtango-shi;5101930;2621230;京丹後市峰山町;Kyōtango-shi Mineyama-chō;35.6242;135.0611;1.185
510;2621200;京丹後市;Kyōtango-shi;5101931;2621231;京丹後市大宮町;Kyōtango-shi Ōmiya-chō;35.5836;135.0958;1.209
510;2621200;京丹後市;Kyōtango-shi;5101933;2621233;京丹後市丹後町;Kyōtango-shi Tango-chō;35.7403;135.1019;1.749
510;2621200;京丹後市;Kyōtango-shi;5101935;2621235;京丹後市久美浜市民局;Kyōtango-shi Kumihama Citizen Bureau;35.6033;134.8947;1.749
510;2621200;京丹後市;Kyōtango-shi;5101936;2621236;京丹後市網野町;Kyōtango-shi Amino-chō;35.6811;135.0264;1.672
510;2621200;京丹後市;Kyōtango-shi;5101937;2621237;京丹後市弥栄町溝谷;Kyōtango-shi Yasaka-chō Mizotani;35.6583;135.09;1.327
510;2646500;与謝野町;Yosano-chō;5102030;2646530;与謝野町加悦;Yosano-chō Kaya;35.5033;135.0953;1.416
510;2646500;与謝野町;Yosano-chō;5102031;2646531;与謝野町岩滝;Yosano-chō Iwataki;35.5653;135.1525;1.749
510;2646500;与謝野町;Yosano-chō;5102032;2646532;与謝野町四辻;Yosano-chō Yotsutsuji;35.5281;135.0994;1.408
511;2610100;京都北区;Kyōto-shi Kita-ku;5110041;2610141;京都北区中川;Kyōto-shi Kita-ku Nakagawa;35.0892;135.6878;0.569
511;2610100;京都北区;Kyōto-shi Kita-ku;5110042;2610142;京都北区大宮西脇台町;Kyōto-shi Kita-ku Ōmiya Nishi-wakidai-chō;35.0536;135.7436;1.141
511;2610200;京都上京区;Kyōto-shi Kamigyō-ku;5110130;2610230;京都上京区薮ノ内町;Kyōto-shi Kamigyō-ku Yabunouchi-chō;35.0203;135.7547;1.214
